"rules","support","confidence","lift"
"11","{popcorn} => {whole milk}",0.00264361972547026,0.366197183098592,1.43316724861705
"1","{popcorn} => {salty snack}",0.00223690899847483,0.309859154929577,8.19210964713009
"7","{popcorn} => {soda}",0.00193187595322827,0.267605633802817,1.53463638976717
"6","{popcorn} => {root vegetables}",0.0016268429079817,0.225352112676056,2.06747950388901
"10","{popcorn} => {other vegetables}",0.0016268429079817,0.225352112676056,1.1646547704514
"3","{popcorn} => {shopping bags}",0.00142348754448399,0.197183098591549,2.00133722873879
"2","{popcorn} => {fruit/vegetable juice}",0.00132180986273513,0.183098591549296,2.53273508844912
"8","{popcorn} => {yogurt}",0.00132180986273513,0.183098591549296,1.31251796493245
"4","{popcorn} => {sausage}",0.00122013218098627,0.169014084507042,1.79897567221511
"5","{popcorn} => {tropical fruit}",0.00111845449923742,0.154929577464789,1.47648487826182
"9","{popcorn} => {rolls/buns}",0.00111845449923742,0.154929577464789,0.842306464547373
