"rules","support","confidence","lift"
"11","{pickled vegetables} => {whole milk}",0.00711743772241993,0.397727272727273,1.5565649531527
"10","{pickled vegetables} => {other vegetables}",0.00640569395017794,0.357954545454545,1.84996476854727
"9","{pickled vegetables} => {rolls/buns}",0.00427046263345196,0.238636363636364,1.29739559776873
"6","{pickled vegetables} => {root vegetables}",0.00406710726995425,0.227272727272727,2.08510006784261
"7","{pickled vegetables} => {soda}",0.00406710726995425,0.227272727272727,1.30333951762523
"5","{pickled vegetables} => {tropical fruit}",0.00376207422470768,0.210227272727273,2.00347405743481
"8","{pickled vegetables} => {yogurt}",0.00376207422470768,0.210227272727273,1.50698631725417
"2","{pickled vegetables} => {citrus fruit}",0.00305033045246568,0.170454545454545,2.05948458789368
"3","{pickled vegetables} => {sausage}",0.00305033045246568,0.170454545454545,1.81430785123967
"4","{pickled vegetables} => {bottled water}",0.00305033045246568,0.170454545454545,1.54224512837668
"1","{pickled vegetables} => {frankfurter}",0.00274529740721912,0.153409090909091,2.6013420846395
